record_id,date,location_id,amount,quantity,status
REC-001,2024-01-15,LOC-001,$1250.00,10,completed
REC-002,2024-01-16,LOC-001,890.50,5,completed
REC-003,2024-01-17,LOC-002,$3200.75,25,pending
REC-004,2024-01-18,LOC-002,475.00,3,completed
REC-005,2024-01-19,LOC-003,"  $1,500.00  ",12,completed
REC-006,2024-01-20,LOC-003,2100.00,8,failed
REC-007,2024-01-21,LOC-001,N/A,N/A,cancelled
REC-008,2024-01-22,LOC-002,670.25,4,completed
REC-009,2024-01-23,LOC-003,$990.00,7,pending
REC-010,2024-01-24,LOC-001,1125.50,9,completed
REC-011,2024-02-01,LOC-004,$2340.00,15,completed
REC-012,2024-02-02,LOC-004,560.75,3,pending
REC-013,2024-02-03,LOC-005,  1890.25  ,11,completed
REC-014,2024-02-04,LOC-005,$4500.00,30,completed
REC-015,2024-02-05,LOC-006,325.00,2,failed
REC-016,2024-02-06,LOC-006,$1750.50,14,completed
REC-017,2024-02-07,LOC-004,NULL,NULL,cancelled
REC-018,2024-02-08,LOC-005,2200.00,18,pending
REC-019,2024-02-09,LOC-006,$875.25,6,completed
REC-020,2024-02-10,LOC-004,  3100.00,20,completed
REC-021,2024-03-01,LOC-007,$1450.75,10,completed
REC-022,2024-03-02,LOC-007,980.00,7,completed
REC-023,2024-03-03,LOC-008,  $2675.50  ,19,pending
REC-024,2024-03-04,LOC-008,410.25,2,completed
REC-025,2024-03-05,LOC-009,$3800.00,24,completed
REC-026,2024-03-06,LOC-009,1560.00,13,failed
REC-027,2024-03-07,LOC-010,-,  -  ,cancelled
REC-028,2024-03-08,LOC-010,$720.50,5,completed
REC-029,2024-03-09,LOC-007,2950.75,22,pending
REC-030,2024-03-10,LOC-008,1100.00,8,completed
REC-031,2024-03-11,LOC-009,$190.25,1,completed
REC-032,2024-03-12,LOC-010,4200.00,28,completed
REC-033,2024-01-25,LOC-001,$550.00,4,completed
REC-034,2024-02-11,LOC-005,1325.75,9,pending
REC-035,2024-03-13,LOC-007,  $2800.00  ,17,completed
REC-036,2024-01-26,LOC-003,760.50,6,completed
REC-037,2024-02-12,LOC-006,$1100.25,8,completed
REC-038,2024-03-14,LOC-008,3450.00,23,completed
REC-039,2024-01-27,LOC-002,  920.00  ,7,pending
REC-040,2024-02-13,LOC-004,$2650.50,16,completed
