id,record_ref,date,location_id,amount,quantity,status
B-001,REC-001,2024-01-15,LOC-001,$1250.00,10,completed
B-002,REC-002,2024-01-16,LOC-001,890.50,5,completed
B-003, REC-003 ,2024-01-17,LOC-002,$3200.75,25,pending
B-004,rec-004,2024-01-18,LOC-002,475.00,3,completed
B-005,REC_005,2024-01-19,LOC-003,$1500.00,12,completed
B-006,REC-006,2024-01-20,LOC-003,  $2100.00  ,8,failed
B-007,REC-008,2024-01-22,LOC-002,$670.25,4,completed
B-008,REC-009,2024-01-23,LOC-003,990.00,7,pending
B-009,rec_010,2024-01-24,LOC-001,  1125.50,9,completed
B-010,REC-011,2024-02-01,LOC-004,$2340.00,15,completed
B-011,REC-012,2024-02-02,LOC-004,$560.75,3,pending
B-012, rec-013,2024-02-03,LOC-005,1890.25,11,completed
B-013,REC-014,2024-02-04,LOC-005,$4500.00,30,completed
B-014,REC-015,2024-02-05,LOC-006,$325.00,2,failed
B-015, REC-016 ,2024-02-06,LOC-006,1750.50,14,completed
B-016,REC-018,2024-02-08,LOC-005,$2200.00,18,pending
B-017,rec019,2024-02-09,LOC-006,875.25,6,completed
B-018,REC-020,2024-02-10,LOC-004,3100.00,20,completed
B-019,REC-021,2024-03-01,LOC-007,  $1450.75  ,10,completed
B-020,REC-022,2024-03-02,LOC-007,$980.00,7,completed
B-021, rec_023 ,2024-03-03,LOC-008,2675.50,19,pending
B-022,REC-024,2024-03-04,LOC-008,410.25,2,completed
B-023,REC-025,2024-03-05,LOC-009,$3800.00,24,completed
B-024,REC-026,2024-03-06,LOC-009,  1560.00  ,13,failed
B-025,REC-028,2024-03-08,LOC-010,$720.50,5,completed
B-026,rec-029,2024-03-09,LOC-007,2950.75,22,pending
B-027,REC-030,2024-03-08,LOC-008,$1100.00,8,completed
B-028,REC-031,2024-03-11,LOC-009,190.25,1,completed
B-029,REC-032,2024-03-12,LOC-010,$4200.00,28,completed
B-030,REC-033,2024-01-25,LOC-001,550.00,4,completed
B-031,REC-036,2024-01-26,LOC-003,$760.50,6,completed
B-032,REC-037,2024-02-12,LOC-006,1100.25,8,completed
B-033,rec-038,2024-03-14,LOC-008,$3450.00,23,completed
B-034,REC-039,2024-01-27,LOC-002,920.00,7,pending
B-035,REC-040,2024-02-13,LOC-004,  $2650.50,16,completed
B-036,REC-002,2024-01-16,LOC-001,$890.50,5,completed
B-037, REC-014 ,2024-02-04,LOC-005,4500.00,30,completed
B-038,rec025,2024-03-05,LOC-009,3800.00,24,completed
B-039,REC-999,2024-04-01,LOC-001,$500.00,3,completed
B-040,REC_888,2024-04-02,LOC-005,750.25,5,pending
B-041, rec-777 ,2024-04-03,LOC-008,$1200.00,10,completed
B-042,REC-010,2024-01-24,LOC-001,$1300.00,9,completed
B-043,REC-034,2024-02-11,LOC-005,$1500.00,9,pending
B-044,REC-035,2024-03-13,LOC-007,2800.00,17,completed
B-045,REC-007,2024-01-21,LOC-001,N/A,N/A,cancelled
